Years,0,1,At25,Grand Total,PercentageOf
2008,13096.5,4019.5,1,17116,30.6914061
2009,13115.75315,3123.590378,0,16239.34353,23.81556242
2010,13464.36703,3398.891248,1,16863.25828,25.24360217
2011,13307.15248,3239.818533,0,16546.97101,24.34644481
2012,13572.33,4313.666667,1,17885.99667,31.78280124
2013,13694.67,4234.333333,1,17929.00333,30.91957187
2014,14088.11957,3547.141085,1,17635.26066,25.17824374
2015,14188.72154,3445.628899,0,17634.35044,24.28428023
2016,13369.81609,3164.600691,0,16534.41678,23.66973988
2017,12852.35528,2681.342657,0,15533.69793,20.86265591
2018,12903.8598,2819.33953,0,15723.19933,21.84880783
2019,12919.1436,2868.642458,0,15787.78606,22.20458683
2020,13201.8117,2771.370051,0,15973.18175,20.99234646
2021,13454.17673,2281.025767,0,15735.20249,16.95403452
2022,13630.10212,2394.143509,0,16024.24563,17.56511791
2023,13480.50893,2354.612543,0,15835.12147,17.46679265
2008,4996.9,1476,1,6472.9,29.53831375
2009,4921,1491.9,1,6412.9,30.31700874
2010,4700.8,1272.2,1,5973,27.06347856
2011,4806.9,1145.6,0,5952.5,23.83240758
2012,4883.3,1168,0,6051.3,23.918252
2013,4905.2,1202.4,0,6107.6,24.51276197
2014,4832.5,1231,1,6063.5,25.47335748
2015,4836,1240.5,1,6076.5,25.65136476
2016,4928.4,1253.8,1,6182.2,25.44030517
2017,5017.6,1296.4,1,6314,25.83705357
2018,5119,1301.1,1,6420.1,25.41707365
2019,5220.28,1363.2,1,6583.48,26.1135418
2020,7437.656,3006.37,1,10444.026,40.42093369
2021,7475.76,3071.733,1,10547.493,41.08924043
2022,7261.357,3022.168,1,10283.525,41.61987904
2008,5140.702,1659.912,1,6800.614,32.2895978
2009,5042.386,1693.612,1,6735.998,33.58751194
2010,4971.958,1669.128,1,6641.086,33.57083869
2011,5022.778,1703.649,1,6726.427,33.91846106
2012,4944.255,1599.821,1,6544.076,32.35717009
2013,4867.074,1539.341,1,6406.415,31.62764733
2014,4762.003,1590.345,1,6352.348,33.39655603
2015,4642.623,1583.819,1,6226.442,34.11474505
2016,4745.78,1574.736,1,6320.516,33.18181627
2017,4671.868,1593.411,1,6265.279,34.10650729
2018,4677.385,1610.656,1,6288.041,34.4349674
2019,4779.342,1630.557,1,6409.899,34.11676754
2020,8407.575,2711.03,1,11118.605,32.24508851
2021,8752.926,3017.08,1,11770.006,34.46938772
2022,8055.424,2721.75,1,10777.174,33.78779317
2023,8116.887,2730.635,1,10847.522,33.64140711
2014,6811.71,8.77,0,6820.48,0.128748875
2015,7197.35,22.67,0,7220.02,0.31497704
2016,7228.65,23.17,0,7251.82,0.320530113
2017,8121.99,109.65,0,8231.64,1.350038599
2018,8177.45,34.48627387,0,8211.936274,0.421724057
2019,7860.84,50.1642,0,7911.0042,0.638153174
2020,7895.8103,86.423,0,7982.2333,1.094542507
2021,9062.7524,49.0574,0,9111.8098,0.541307958
2022,8669.222,70.19297181,0,8739.414972,0.809680174
2023,8651.81308,60.024,0,8711.83708,0.693773657
2015,1877,17.6,0,1894.6,0.937666489
2016,1218,40,0,1258,3.28407225
2017,1267,100.2,0,1367.2,7.908445146
2018,1462,53.5,0,1515.5,3.659370725
2019,1344,39.8,0,1383.8,2.961309524
2020,1459.29,45.51,0,1504.8,3.118639887
2021,1618.5,63.9,0,1682.4,3.948100093
2022,1615.8,76,0,1691.8,4.70355242
