Row Labels,dew,humidity,pressure,temperature,wind-speed,pm25Class
Perth,8.989795918,76.97959184,1016.411224,13.84183673,3.592857143,1
Hobart,4.187755102,70.2755102,1008.664286,10.78877551,2.46122449,1
Huế,23.89690722,71.89175258,1006.247423,29.42783505,1.854639175,1
Dijon,13.69387755,65.44897959,1016.397959,20.44387755,2.619387755,1
Reykjavík,7.239795918,77.12244898,1007.688776,11.16836735,3.865306122,1
Launceston,6.140816327,82.7122449,1003.84898,9.340816327,4.068367347,1
Salamanca,11.06122449,58.37755102,1019.122449,19.57244898,1.990816327,1
Honolulu,20.28061224,67.06122449,1016.863265,26.58163265,2.767346939,1
Tallinn,13.13571429,81.60816327,1011.115306,14.96632653,3.297959184,1
Albuquerque,7.025510204,33.85204082,1021.807143,25.64081633,2.598979592,1
Haiphong,25.61851852,87.07777778,991.7555556,27.7037037,2.172839506,1
Funchal,17.30555556,77.4255102,1019.367347,19.23367347,1.358888889,1
Burgos,10.57653061,63.53061224,1019.744898,17.95,3.741836735,1
Oviedo,16.54081633,85.8255102,1016.966327,19.24387755,2.624489796,1
Orléans,13.83163265,71.04081633,1015.336735,19.2755102,3.62755102,1
Tucson,11.13684211,31.37653061,1013.65102,31.69795918,2.157142857,1
Wollongong,7.990816327,65.67959184,1020.630612,14.59897959,3.85,1
Adelaide,7.742857143,68.05102041,1021.642857,13.23061224,3.83877551,1
Melbourne,7.163265306,74.77346939,1019.135714,12.48571429,3.17244898,1
Tours,13.95408163,67.53571429,1015.94898,20.1122449,3.068367347,1
Caen,14.23469388,79.33163265,1015.061224,17.84183673,3.847959184,1
Vancouver,12.53061224,73.83163265,1015.955102,17.89795918,2.168367347,1
Lisbon,15.31122449,62.86020408,1016.102041,21.38469388,4.959183673,1
Yangon,25.52040816,91.58673469,1006.464286,26.82653061,2.376530612,1
Nantes,14.59183673,74.7755102,1015.959184,19.18877551,3.016326531,1
Clermont-Ferrand,13.19897959,59.41326531,1016.959184,21.17346939,2.441836735,1
Surrey,11.80612245,68.11428571,1015.835714,18.75204082,1.167346939,1
Rouen,13.77040816,75.55918367,1014.813265,18.23367347,2.960204082,1
Rennes,14.09183673,74.57142857,1015.556122,18.67346939,3.171428571,1
Conakry,24.57631579,91.79591837,1010.623469,25.82244898,2.984693878,1
Sydney,8.387755102,66.06938776,1019.722449,14.78265306,2.515306122,1
Bordeaux,15.25,71.06938776,1017.15102,21.39489796,3.047959184,1
Naha,25.72258065,83.2,1006.587097,28.64086022,5.230107527,1
Brisbane,10.79183673,66.1122449,1021.22449,17.95773196,1.445360825,1
Newcastle,9.079591837,73.00204082,1021.753061,15.30816327,3.201020408,1
Calama,-17.83571429,10.02040816,1023.788776,14.03265306,7.725510204,1
Salt Lake City,8.255102041,38.0255102,1018.602041,6.154081633,2.246938776,1
Las Palmas de Gran Canaria,18.41428571,66.10306122,1011.97551,24.90408163,9.390816327,2
Nancy,13.25510204,68.91326531,1016.244898,19.47959184,2.928571429,2
Amiens,13.23214286,71.07040816,1014.462245,17.68469388,4.885714286,2
Nîmes,14.39285714,56.8622449,1015.688776,23.32653061,3.22244898,2
Hạ Long,25.68673469,86.11428571,991.694898,27.92857143,2.091836735,2
Sapporo,19.72857143,82.07959184,1008.128571,22.80816327,3.259183673,2
Metz,12.98469388,67.55612245,1016.153061,19.15306122,3.833673469,2
Canberra,3.696938776,75.50816327,1020.791837,8.082653061,3.178571429,2
Saint-Étienne,12.79591837,58.85204082,1017.280612,21,2.389795918,2
Shizuoka,23.16477273,79.76632653,1005.804082,26.9877551,2.534693878,2
Lyon,13.75510204,56.83163265,1016.520408,22.66836735,2.77244898,2
Toulouse,14.7755102,59.01020408,1017.147959,23.54591837,3.592857143,2
Valencia,19.09591837,71.06530612,1016.197959,26.15612245,2.778571429,2
Sacramento,11.803125,55.19489796,1012.559184,22.98673469,2.109183673,2
El Paso,3.333333333,32.89897959,1009.80102,30.18979592,2.944897959,2
Montpellier,14.81122449,60.92040816,1014.983673,24.21122449,2.552040816,2
Akita,21.78571429,79.35204082,1007.27551,25.81122449,3.068367347,2
Donostia / San Sebastián,17.9375,76.45,1020.861224,21.28571429,1.731632653,2
Chiba,23.69591837,77.09591837,1009.630612,27.84591837,2.435714286,2
Chiang Mai,23.33163265,78.39795918,1007.540816,27.21428571,1.771428571,2
Seattle,11.72040816,67.10306122,1016.628571,18.35714286,1.909183673,2
Yokohama,23.47142857,79.11938776,1008.372449,27.03469388,2.669387755,2
Nagasaki,23.14387755,78.16836735,1006.517347,27.44285714,2.948979592,2
San Jose,11.65510204,71.91938776,1013.846939,17.29897959,2.78877551,2
Niigata,22.47346939,76.22857143,1009.267347,27.39285714,2.480612245,2
Miami,23.66836735,81.72653061,1014.287755,27.73469388,2.228571429,2
Miyazaki,24.27959184,82.96530612,1008.508163,27.4244898,3.317346939,2
Ōita,23.50510204,80.97040816,1008.14898,27.14183673,2.793877551,2
Takamatsu,23.24285714,77.85102041,1009.146939,27.52857143,2.741836735,2
Kobe,22.94081633,74.45612245,1008.25,27.91122449,1.917346939,2
Kagoshima,24.26326531,80.64285714,1006.87551,27.91530612,3.254081633,2
Wakayama,23.5877551,78.64591837,1009.097959,27.64693878,3.426530612,2
Nagoya,22.92755102,72.11938776,1009.555102,28.74693878,1.804081633,2
Nagano,20.66555556,76.40204082,984.055102,25.38571429,1.921428571,2
Tokyo,23.59591837,73.91836735,1009.011224,28.37142857,1.666326531,2
Kochi,23.69081633,81.98979592,1009.608163,27.0622449,2.455102041,2
Osaka,22.51020408,72.37857143,1006.860204,28.11836735,1.96122449,2
The Bronx,16.54591837,70.14795918,1013.640816,23.44387755,4.27244898,2
Paris,13.4744898,67.6755102,1015.120408,20.69081633,1.831632653,2
Gifu-shi,22.06931818,76.2122449,947.3397959,23.97755102,4.826530612,2
Kumamoto,22.92244898,77.76326531,1005.137755,27.27244898,2.674489796,2
Bilbao,17.53265306,76.05204082,1017.702041,20.89183673,1.631632653,2
Manhattan,16.49897959,76.08265306,1015.629592,22.35204082,1.759183673,2
Sendai,22.58876404,78.1755102,1004.57449,26.08367347,1.887755102,2
Saitama,22.68518519,73.25,1008.443878,28.21326531,1.451020408,2
Jacksonville,22.21734694,82.42346939,1015.412245,26.75918367,1.441836735,2
Hiroshima,21.73877551,69.53469388,1006.862245,28.07857143,2.048979592,2
Marseille,15.1122449,58.04183673,1014.443878,23.51530612,2.787755102,2
Utsunomiya,23.27848101,77.35408163,1004.661224,26.99795918,1.743298969,2
Brooklyn,16.54387755,71.42346939,1015.137755,23.51734694,3.528571429,2
Washington D.C.,18.21836735,74.88163265,1015.238776,23.34081633,1.394897959,2
Okayama,23.18163265,78.5755102,1009.363265,27.39387755,2.974489796,2
Nashville,19.39693878,77.75612245,1013.583673,24.18265306,1.870408163,2
Queens,16.93265306,69.42244898,1014.292857,24.34591837,2.7,2
Staten Island,16.22040816,71.77755102,1014.312245,22.57653061,2.157142857,2
Columbus,16.58979592,72.35510204,992.6122449,21.72142857,2.61122449,2
Charlotte,20,73.14897959,1016.934694,24.24285714,1.389795918,2
Palma,20.49591837,63.45918367,1008.316327,26.56326531,2.213265306,2
Philadelphia,18.56530612,76.04897959,1013.971429,23.39897959,2.007142857,2
Hartford,17.09489796,74.86326531,1014.472449,21.51326531,2.609183673,2
Fresno,12.37959184,46.5,1011.426531,27.06530612,1.897959184,2
Nara-shi,22.26326531,72.30816327,1003.47449,27.60510204,2.221428571,2
Richmond,18.63673469,77.3622449,1014.823469,23.7244898,1.562244898,2
Gasteiz / Vitoria,13.98877551,75.59489796,1018.729592,18.41530612,2.201020408,2
Toyama,22.98860759,67.51326531,1008.441837,27.98163265,2.025510204,2
Matsuyama,23.42527473,76.67755102,1009.158163,25.16530612,2.071111111,2
Nice,18.45408163,64.69081633,1014.328571,25.04897959,3.169387755,2
Hamilton,14.09545455,82.16479592,1014.915306,15.03979592,2.345918367,2
Bogotá,9.612244898,65.07142857,621.7040816,14.70918367,1.724489796,2
Kyoto,22.05408163,70.29795918,1006.442857,28.1244898,2.307142857,2
Tallahassee,21.95306122,78.82040816,1015.617347,26.48877551,2.325510204,2
Montréal,15.51326531,74.74795918,1014.147959,20.28673469,1.714285714,2
Québec,15.2622449,82.71326531,1014.968367,18.59489796,1.812244898,2
Bucharest,13.95408163,50.76938776,1011.090816,25.43877551,2.675510204,2
Barcelona,17,72.72857143,1016.483673,25.06326531,2.02755102,2
San Antonio,20.37755102,59.16836735,1013.27551,30.96530612,4.87755102,2
San Diego,15.01111111,72.59081633,1009.213265,21.1122449,1.975510204,2
Chon Buri,24.5,76.31122449,1007.933673,28.8622449,3.18877551,2
Raleigh,20.28673469,80.25918367,1015.659184,24.30714286,1.243877551,2
Nakhon Pathom,23.82653061,72.46938776,1007.377551,29.18877551,3.47244898,2
Abidjan,25.14183673,97.26020408,1013.242857,25.51326531,3.254081633,2
Toronto,15.18571429,74.79387755,1013.777551,20.11122449,2.104081633,2
Skopje,13.98163265,54.43265306,996.1183673,23.96632653,2.043877551,2
Grand Total,16.8752284,70.52335743,1008.976982,22.58065886,2.523429383,2
Jackson,20.43979592,72.11632653,1014.979592,28.04183673,2.569387755,2
Thiruvananthapuram,24.77959184,78.46020408,1009.709184,28.11734694,1.074489796,2
Valparaíso,8.437755102,80.36938776,1017.754082,11.77040816,2.121428571,2
Madison,13.45,75.5877551,1016.060204,20.77653061,1.458163265,2
Springfield,18.5622449,77.18367347,1015.946939,22.7622449,2.394897959,2
Bratislava,14.35918367,71.18469388,1014.604082,20.65,2.533673469,2
London,15.11326531,78.12142857,984.9326531,18.57857143,2.696938776,2
Madrid,9.691836735,40.55408163,1017.908163,25.49897959,1.594897959,2
Kitchener,14.46938776,77.11938776,997.9561224,19.00714286,2.420408163,2
Rayong,24.56632653,76.82142857,1007.964286,28.80612245,3.183673469,2
Chicago,15.76122449,69.29897959,1015.353061,21.60204082,2.402040816,2
Houston,22.25510204,64.62755102,1014.069388,30.50612245,4.515306122,2
Milwaukee,16.11836735,72.82346939,1014.811224,21.20918367,2.45,2
Córdoba,11.53061224,37.97959184,1014.765306,27.43367347,2.167346939,2
Málaga,16.96428571,61.12142857,1015.971429,26.61122449,3.904081633,2
Fort Worth,18.47653061,50.77040816,1015.144898,31.23469388,3.819387755,2
São José dos Campos,13.78289474,84.28367347,1023.685714,17.9,3.736734694,2
Saint Paul,14.93163265,65.86326531,1015.106122,21.91734694,2.566326531,2
Memphis,20.48061224,75.62755102,1015.420408,25.09693878,2.06122449,2
Dallas,19.03061224,44.59591837,1012.519388,31.47959184,5.024489796,2
Winnipeg,12.51122449,69.06632653,1014.265306,18.44489796,2.506122449,2
Lampang,23.71052632,87.66530612,1002.977551,26.24081633,1.225510204,2
Košice,14.81428571,75.7622449,1012.586735,20.01326531,2.184693878,2
Buenos Aires,7.252040816,72.43469388,1016.032653,13.3244898,2.887755102,2
Sevilla,13.56632653,51.05306122,1013.258163,27.65714286,2.98877551,2
Concepción,7.919387755,85.54387755,1018.24898,10.50816327,3.405102041,2
Granada,10.93181818,39.85102041,1008.682653,26.33061224,1.12755102,2
Bengaluru,20.28061224,69.29081633,1013.403061,23.86530612,3.178571429,2
Bangkok,23.60204082,71.21326531,1007.355102,29.37040816,3.326530612,2
Shillong,27.37755102,85.89489796,1003.35,29.10714286,3.019387755,2
Little Rock,20.41632653,65.96428571,1015.146939,27.15510204,2.787755102,3
Mumbai,26.04591837,91.8,1006.235714,28.02040816,1.504081633,3
Darwin,17.13367347,63.30103093,1010.831633,26.46632653,3.055670103,3
Talca,7.568367347,88.39387755,1017.512245,9.746938776,2.347959184,3
Medellín,13.46428571,79.08571429,1018.99898,16.37142857,1.546938776,3
Los Ángeles,6.802040816,75.48265306,1018.347959,11.60918367,3.482653061,3
São Paulo,13.18061224,73.00204082,1021.427551,19.25816327,2.855102041,3
Mysore,21.15612245,78.31632653,1010.989796,26.32142857,0.375510204,3
Quilpué,8.291836735,79.72653061,1017.278571,11.72755102,2.106122449,3
Ho Chi Minh City,26.19047619,90.26190476,1008.52381,27.83333333,2.223809524,4
Chillán,6.948979592,87.6122449,1017.85,8.885714286,2.937755102,4
Samut Prakan,23.06632653,68.22959184,1007.19898,29.45918367,2.987755102,4
Puerto Montt,5.63877551,95.00918367,1015.419388,6.887755102,3.62244898,4
Nagpur,25.32653061,87.61632653,1005.428571,27.26020408,0.48877551,4
Kolkata,26.58163265,97.80714286,1002.207143,28.96836735,0.997959184,4
Edmonton,9.729591837,69.99387755,1015.45102,17.08163265,2.255102041,4
Thrissur,24.3877551,91.61530612,1009.897959,26.73979592,1.329591837,4
Hyderabad,21.44591837,74.4877551,1009.153061,26.77244898,1.219387755,4
Bhopal,23.48979592,79.0212766,1006,26.03571429,1.024468085,4
Temuco,5.815306122,92.41530612,1007.092857,6.871428571,1.87755102,4
Rancagua,6.910204082,80.76122449,1017.193878,10.61428571,2.073469388,4
Hanoi,25.35204082,72.98469388,1004.780612,30.00714286,2.321428571,4
